user,created,karma,submitted
jtmarmon,1394515525.0,492.0,158.0
jtraffic,1302131072.0,855.0,237.0
jtreagan,1499800067.0,3.0,1.0
juhanima,1325821062.0,95.0,62.0
julian_t,1314322906.0,121.0,69.0
julienba,1475860370.0,5.0,3.0
jurandom,1493826444.0,13.0,6.0
jurassic,1359749793.0,1163.0,221.0
justacat,1434738285.0,36.0,18.0
justaman,1385278201.0,332.0,186.0
justin66,1339300344.0,5408.0,2022.0
justin_d,1422640523.0,15.0,18.0
justinhj,1249966944.0,1299.0,623.0
justinmk,1334427331.0,1024.0,230.0
justinph,1258084811.0,2472.0,304.0
justinsb,1187721006.0,3665.0,888.0
justswim,1471285624.0,155.0,22.0
jutanium,1498529488.0,1.0,1.0
juzerali,1354952612.0,1.0,4.0
jvanloov,1313570618.0,38.0,23.0
jventura,1454589527.0,616.0,276.0
jvolkman,1435250965.0,255.0,67.0
jvreagan,1176259937.0,12.0,11.0
k_donald,1480624015.0,2.0,5.0
kafkaesq,1443137513.0,7591.0,2714.0
kagamine,1418384165.0,1054.0,549.0
kageneko,1418771676.0,56.0,28.0
kaghaffa,1331096523.0,5.0,7.0
kahlonel,1484153667.0,76.0,41.0
kaishiro,1363137836.0,1375.0,322.0
kalleboo,1298492182.0,10748.0,4165.0
kansface,1325507299.0,1096.0,586.0
kaonashi,1325838514.0,1551.0,941.0
kapauldo,1253534786.0,258.0,381.0
kapsteur,1366206394.0,18.0,17.0
karboosx,1498412590.0,14.0,10.0
karimdag,1454930373.0,80.0,96.0
karlding,1445300185.0,77.0,20.0
karlshea,1320707351.0,776.0,289.0
karlunho,1410837864.0,22.0,1.0
karpathy,1319708506.0,2164.0,244.0
karsinkk,1452316817.0,4.0,20.0
karthikb,1351898595.0,106.0,52.0
karthikp,1469102009.0,76.0,22.0
kartickv,1408071988.0,520.0,437.0
kasabali,1387832978.0,541.0,329.0
kasper93,1493865725.0,2.0,1.0
kassovic,1360619181.0,-2.0,25.0
katastic,1501680656.0,429.0,278.0
katehall,1483126198.0,4.0,10.0
katzgrau,1288445699.0,694.0,127.0
kaushalc,1293798500.0,19.0,8.0
kavbojka,1468146988.0,6.0,34.0
kbrtalan,1502548097.0,-1.0,1.0
kchoudhu,1377990641.0,2038.0,684.0
kcorbitt,1362591055.0,3161.0,436.0
keeganjw,1353691639.0,207.0,75.0
keenbart,1494983095.0,1.0,2.0
keksicus,1498746101.0,0.0,10.0
keldaris,1425564039.0,367.0,125.0
kelseyah,1485533358.0,1.0,1.0
kemiller,1227458255.0,1498.0,428.0
kenferry,1297221933.0,882.0,225.0
kenhwang,1487894607.0,161.0,34.0
kentbrew,1172174802.0,286.0,129.0
kerianne,1473198403.0,5.0,9.0
kethinov,1393800699.0,501.0,180.0
kevincox,1384975654.0,560.0,291.0
kevindqc,1460575434.0,245.0,123.0
kevinflo,1334782105.0,448.0,37.0
kevinpet,1241679409.0,2842.0,734.0
