user,story,comment
h1d,13682949,1
h1d,14923362,1
h1d,13842130,1
h1d,15480895,1
hbk,15278883,1
hcs,14471931,1
hd4,14326439,1
hd4,14292396,1
hd4,13581375,1
hd4,14043631,1
hd4,13529213,1
hd4,14002821,1
hd4,13361019,1
hd4,14146850,1
hd4,13426896,1
hdi,14661285,1
hdi,14784900,1
hew,14568468,1
hhw,13561388,1
hiq,13400350,1
hiq,15853374,1
hiq,14564182,1
hl5,13824032,1
hl5,14068280,1
hl5,13338592,1
hl5,14733829,1
hl5,14068280,1
hop,15651058,1
hu3,15719262,1
hvo,14219384,1
hvo,13531707,1
hvo,13831277,1
hxn,14516538,1
iaw,15467854,1
iaw,14350059,1
iaw,13421298,1
iaw,14417758,1
iaw,14189392,1
icu,13547089,1
icw,14047310,1
ifc,14238005,1
ifc,14688684,1
ig1,14673777,1
ig1,14688684,1
ig1,14023198,1
ig1,14238005,1
ig1,13721452,1
ig1,13886885,1
ig1,15168394,1
igl,15316175,1
iiv,14919845,1
iiv,14330932,1
imb,14356409,1
imh,14656945,1
imh,15754287,1
ims,15601729,1
in9,14401399,1
in9,14547393,1
ino,13593272,1
ino,15442676,1
ino,14009963,1
inv,15222240,1
isp,15747313,1
ivm,13759706,1
ivv,15774503,1
ixr,14505073,1
j45,15275182,1
j45,14703098,1
j45,14505378,1
j45,14155393,1
j45,14848786,1
j45,14462384,1
j45,15257541,1
j45,14701460,1
j45,15009759,1
j45,14338411,1
j_s,14238005,1
j_s,14942902,1
j_s,14195664,1
j_s,14779881,1
j_s,15031922,1
j_s,15904265,1
j_s,15747519,1
j_s,14834672,1
j_s,14238005,1
j_s,13857086,1
j_s,15611122,1
j_s,15435822,1
j_s,15617615,1
j_s,14237266,1
j_s,13450143,1
j_s,15444607,1
j_s,15187874,1
j_s,14238005,1
j_s,15633785,1
j_s,14039135,1
j_s,13857887,1
j_s,15782014,1
j_s,15904265,1
j_s,15601729,1
j_s,14050049,1
j_s,15257541,1
jbk,13931969,1
jbk,13541679,1
jcl,14009963,1
jd3,15368353,1
jd3,15611122,1
jd3,15747650,1
jey,14356377,1
jey,13414570,1
jff,14075720,1
jff,13696004,1
jff,14763802,1
jfv,13994203,1
jgh,15237896,1
jhh,13543233,1
jjm,15050841,1
jjm,15200955,1
jjm,14476421,1
jjm,14417758,1
jjm,14979642,1
jjp,15310664,1
jl6,13810015,1
jl6,14645452,1
jl6,13742102,1
jl6,14976028,1
jl6,14355051,1
jlj,13426494,1
jln,13301832,1
jln,14688684,1
jln,15148885,1
jly,14417758,1
jly,15265507,1
jly,14671070,1
jms,15384262,1
jng,14386394,1
jng,15066729,1
jot,14308754,1
jph,15775548,1
jph,15416198,1
jph,14367311,1
js2,13950002,1
js2,15480334,1
js2,15485672,1
js2,14959288,1
js2,13537052,1
js2,15133919,1
js2,15337730,1
js2,14411126,1
js8,14729400,1
js8,14471931,1
js8,13641949,1
js8,14661285,1
js8,13977982,1
js8,15913250,1
js8,13382963,1
js8,14245354,1
js8,13837781,1
jsz,13372985,1
jug,13817969,1
jug,13816627,1
jug,15338382,1
jug,14152688,1
jug,13489100,1
jug,13804522,1
jwl,14366825,1
jwr,13610146,1
jwr,13421608,1
jwr,14346652,1
jwr,13543233,1
jwr,13581375,1
jwr,14002821,1
jwr,14075720,1
jwr,14702676,1
jwr,15345455,1
jwr,15568078,1
jws,15892066,1
jws,13858597,1
jws,15720923,1
jxy,13338592,1
