user,created,karma,submitted
TTPrograms,1388870042.0,1218.0,443.0
TamDenholm,1284329787.0,3628.0,664.0
Taskrookie,1504518655.0,1.0,1.0
TaylorGood,1314416355.0,334.0,207.0
TechLynz14,1443715482.0,1.0,3.0
Teichopsia,1407646665.0,79.0,83.0
ThatGeoGuy,1375130715.0,697.0,193.0
TheAdamist,1411064701.0,150.0,57.0
The_Sponge,1227495839.0,234.0,98.0
Thetawaves,1307953232.0,62.0,76.0
Thoreandan,1272860288.0,85.0,23.0
TicketCity,1474664748.0,2.0,8.0
TomAnthony,1305671499.0,2114.0,323.0
TomMckenny,1424335283.0,7.0,2.0
TonnyGaric,1491994394.0,127.0,38.0
TruthSHIFT,1373555064.0,319.0,82.0
UweSchmidt,1358861157.0,1091.0,458.0
ValentineC,1298178987.0,6109.0,887.0
VectorLock,1494533513.0,100.0,66.0
Virgo_matt,1487033096.0,1.0,1.0
WalterSear,1246552359.0,4203.0,2148.0
WhiteNoiz3,1380562408.0,61.0,22.0
Winblows69,1489683471.0,1.0,7.0
Y7ZCQtNo39,1490923559.0,244.0,95.0
YaxelPerez,1497477253.0,27.0,16.0
YvesFrench,1491588391.0,1.0,2.0
Z1515M8147,1482602043.0,32.0,13.0
Zahreddine,1478503210.0,9.0,10.0
Zeebrommer,1409819601.0,81.0,27.0
__roland__,1460891137.0,19.0,7.0
_alexander,1492525015.0,20.0,5.0
_anonymous,1505001115.0,1.0,2.0
_petronius,1394011385.0,541.0,93.0
_pferreir_,1334580501.0,390.0,151.0
a-nikolaev,1340151911.0,230.0,128.0
a_metaphor,1457126785.0,19.0,12.0
aabbcc1241,1417571777.0,3.0,10.0
aanburajan,1417752523.0,1.0,1.0
aaron-lebo,1342201983.0,4739.0,2004.0
aaronchall,1391477944.0,1242.0,365.0
aaronharsh,1506535810.0,1.0,2.0
aaronlevin,1397498667.0,197.0,21.0
aarontyree,1379772848.0,14.0,15.0
abc_lisper,1305567541.0,627.0,378.0
abdullahi1,1444631160.0,7.0,6.0
abe_duarte,1328012926.0,35.0,45.0
abetancort,1356749483.0,1.0,1.0
abhisuri97,1472550971.0,409.0,36.0
abluecloud,1397130225.0,299.0,99.0
acalderaro,1437511244.0,315.0,51.0
accnt4frms,1508157822.0,0.0,1.0
acidtrucks,1430843625.0,6.0,7.0
acoyfellow,1333506260.0,310.0,329.0
acveilleux,1390687398.0,1241.0,555.0
adambmedia,1472746738.0,115.0,17.0
adambowles,1438240139.0,9.0,6.0
adambutler,1361212740.0,205.0,86.0
adamconroy,1368410955.0,197.0,233.0
adamilardi,1264535621.0,272.0,152.0
adamveld12,1417281377.0,50.0,17.0
adamzerner,1356594429.0,1123.0,579.0
adeshpande,1469823116.0,170.0,26.0
adewhurst2,1489525548.0,-1.0,1.0
adriaanvdh,1505118432.0,1.0,1.0
adrianmonk,1276207988.0,352.0,129.0
adrianpike,1297893897.0,664.0,252.0
adventured,1352969597.0,24325.0,6544.0
aecorredor,1412876458.0,120.0,36.0
aelmeleegy,1477566976.0,6.0,6.0
aeronautic,1494443761.0,277.0,57.0
aerotwelve,1504636959.0,36.0,9.0
aerovistae,1378606037.0,3477.0,748.0
aethertron,1360011999.0,118.0,113.0
aficionado,1258095632.0,754.0,150.0
afinlayson,1287366479.0,123.0,71.0
agadabanka,1417747412.0,32.0,2.0
age_bronze,1496612306.0,70.0,18.0
agent3bood,1483616038.0,4.0,6.0
agentultra,1270650328.0,4993.0,1529.0
agibsonccc,1327775623.0,1084.0,668.0
agildehaus,1313376799.0,1578.0,461.0
agjacobson,1447276239.0,188.0,58.0
ahmetcetin,1438710545.0,1.0,3.0
ahmetyas01,1431723137.0,14.0,13.0
aidanrocke,1446995661.0,130.0,44.0
ajohnclark,1360360278.0,24.0,32.0
akinefes98,1509558099.0,1.0,2.0
al_chemist,1448389811.0,166.0,85.0
alain94040,1186803909.0,6156.0,1766.0
alanfalcon,1290626801.0,2943.0,768.0
alangibson,1483692865.0,84.0,27.0
alattimore,1401719332.0,2.0,2.0
alcuadrado,1292093124.0,1094.0,139.0
alex_young,1364566967.0,161.0,73.0
alexbecker,1409009523.0,840.0,259.0
alexbilbie,1269138218.0,1744.0,249.0
alexfisher,1287255970.0,14.0,15.0
alexintosh,1424076085.0,1.0,7.0
alexmattos,1509964074.0,3.0,1.0
alexmlamb2,1465793900.0,64.0,28.0
alexnewman,1363975925.0,161.0,355.0
alexpotato,1409327532.0,187.0,64.0
alextooter,1293598802.0,5.0,16.0
alexyaseen,1393269769.0,13.0,10.0
alfonsodev,1378549798.0,366.0,153.0
alfredxing,1368397709.0,887.0,119.0
alinspired,1294442577.0,59.0,97.0
alistairSH,1353338424.0,1761.0,826.0
allenleein,1415176262.0,2321.0,702.0
alonshiran,1500471677.0,1.0,1.0
aloukissas,1480086665.0,68.0,22.0
alphast0rm,1326333938.0,142.0,61.0
altern8tif,1430281889.0,238.0,108.0
alwaysdoit,1330933560.0,730.0,149.0
alxdistill,1368590009.0,19.0,30.0
alydenardo,1490644545.0,1.0,5.0
amadeus_ym,1512144709.0,1.0,1.0
amadeuspzs,1363023801.0,381.0,32.0
amazingman,1285891939.0,191.0,100.0
amazon_not,1421112253.0,384.0,323.0
ambicapter,1435894983.0,466.0,224.0
ameesdotme,1414158889.0,72.0,53.0
ameister14,1347641058.0,1213.0,711.0
amingilani,1413275401.0,1165.0,353.0
amirbehzad,1451057230.0,16.0,27.0
amitmathew,1342795617.0,54.0,17.0
an_account,1442468103.0,644.0,182.0
